gene1,gene2,score
CEBPA,FOXA1,-0.688865266
RREB1,C3orf72,-0.688536152
HOXA13,PRTG,-0.688403056
HOXC13,IKZF3,-0.68815269
CDKN1A,TP73,-0.688129412
MAP7D1,TP73,-0.688122856
ARRDC3,PRDM1,-0.688064564
CEBPA,MIDN,-0.688044898
TP73,ZBTB10,-0.68797085
C19orf26,DUSP9,-0.687924525
IKZF3,SNAI1,-0.687778744
PRTG,CEBPE,-0.687765828
HOXA13,CNNM4,-0.687754826
HOXC13,FOXF1,-0.68770631
ETS2,PRDM1,-0.687599417
CEBPA,STIL,-0.687561817
AHR,PRTG,-0.687526373
NIT1,HOXB9,-0.687482866
SPI1,TSC22D1,-0.687473461
GCH1,TP73,-0.686822733
HOXA13,SPI1,-0.686553399
SPI1,CNNM4,-0.686336499
ATL1,NIT1,-0.686328069
HOXA13,MCOLN3,-0.686266902
RHOXF2B,ATL1,-0.686240797
HOXC13,C19orf26,-0.686171873
C3orf72,HOXA13,-0.686036341
NIT1,ISL2,-0.685954068
SPI1,POU3F2,-0.685926711
C3orf72,CDKN1C,-0.685896993
HOXA13,negative,-0.685873266
HOXA13,ZNF318,-0.685829982
NIT1,COL2A1,-0.685812362
C3orf72,CBFA2T3,-0.685796506
CEBPA,HOXA13,-0.685771123
C3orf72,ISL2,-0.685600917
CEBPA,HOXB9,-0.685559958
CEBPA,RHOXF2B,-0.685475692
PRDM1,IRF1,-0.685381866
BAK1,MIDN,-0.685245274
NIT1,HOXA13,-0.685193262
PRTG,COL1A1,-0.685129769
C3orf72,TBX2,-0.684922915
C3orf72,FOSB,-0.684777636
HOXA13,ZBTB1,-0.684680823
ZBTB25,HOXA13,-0.684679021
C19orf26,SLC4A1,-0.684646267
PRTG,PTPN13,-0.684622775
KIAA1804,C3orf72,-0.68460383
HOXC13,POU3F2,-0.684558034
HOXA13,LHX1,-0.684503023
RHOXF2B,KIAA1804,-0.68445929
HOXC13,KIAA1804,-0.684424096
UBASH3B,NIT1,-0.684393985
HOXA13,KIF18B,-0.684081159
IKZF3,HOXC13,-0.684026112
SLC4A1,FEV,-0.683986515
FOXA3,CEBPA,-0.683881167
CEBPE,TP73,-0.683850305
C3orf72,ETS2,-0.683822073
HOXA13,STIL,-0.683666302
IRF1,HOXA13,-0.683643264
HOXA13,PEG10,-0.683482615
ARID1A,C3orf72,-0.683358121
FOXA1,ZBTB10,-0.683278183
IKZF3,LYL1,-0.68326193
SLC4A1,COL2A1,-0.683187645
FOXA3,ARID1A,-0.68309386
RHOXF2B,PLEKHO2,-0.682882713
PRDM1,ARRDC3,-0.682785492
MEIS1,HOXA13,-0.682765775
TP73,NIT1,-0.682745718
HOXA13,CDKN1A,-0.68268677
SPI1,CEBPE,-0.682668528
HOXA13,negative,-0.682547417
ZBTB10,PTPN13,-0.682524707
HOXA13,DLX2,-0.682512933
HOXA13,RUNX1T1,-0.682253098
HOXA13,PTPN1,-0.682240766
CEBPA,HOXC13,-0.682222149
HOXA13,TSC22D1,-0.682150096
CEBPA,FOXL2,-0.682099019
HOXA13,MEIS1,-0.68201446
POU3F2,C3orf72,-0.681949359
KIAA1804,KIAA1804,-0.68178451
HOXA13,KIAA1804,-0.681696435
BCR,CEBPA,-0.681681333
STIL,HOXC13,-0.681537793
PRTG,PTPN1,-0.68147437
C19orf26,HOXA13,-0.681468431
PRDM1,HOXA13,-0.681300703
ZBTB10,CEBPE,-0.681258673
BAK1,CDKN1B,-0.681246
NIT1,KMT2A,-0.681117682
C3orf72,KIF18B,-0.681037871
C3orf72,KIAA1804,-0.68094779
DLX2,SNAI1,-0.680911583
LHX1,SLC4A1,-0.680701168
SPI1,PLK4,-0.680549947
FOXF1,ARID1A,-0.680533261
POU3F2,CEBPA,-0.680524054
CEBPA,TP73,-0.680464229
BAK1,JUN,-0.680382168
ZBTB10,FOXF1,-0.680335834
ZNF318,C3orf72,-0.68029211
HOXA13,ZBTB10,-0.680264348
HOXC13,C3orf72,-0.680181044
POU3F2,NIT1,-0.680155923
CEBPB,CNN1,-0.679862955
ZBTB10,NIT1,-0.679707502
HOXA13,HOXC13,-0.679651674
DUSP9,C3orf72,-0.679602852
HOXA13,ETS2,-0.679600285
RHOXF2B,PLEKHO2,-0.679499983
HOXC13,JUN,-0.679362792
KIAA1804,PRDM1,-0.679329969
PTPN1,FOXL2,-0.679285239
HOXA13,SLC4A1,-0.679268452
PTPN1,KIAA1804,-0.67910697
HOXA13,RREB1,-0.679020071
HOXA13,FOSB,-0.678853768
IKZF3,SAMD1,-0.678793947
HOXC13,HOXA13,-0.678633876
NIT1,CBFA2T3,-0.678573028
CEBPB,FOXO4,-0.678475236
STIL,C3orf72,-0.678234047
SLC4A1,CEBPA,-0.678171771
HOXA13,IGDCC3,-0.678146725
CITED1,CEBPA,-0.678096183
EGR1,C3orf72,-0.67797747
DUSP9,IGDCC3,-0.677946233
RHOXF2B,DUSP9,-0.67793538
SLC4A1,PRTG,-0.677897527
HOXA13,COL1A1,-0.677834053
DUSP9,PRDM1,-0.677771268
FOXA1,KIAA1804,-0.677754407
JUN,TP73,-0.677647103
SLC4A1,NCL,-0.67763272
FOXA3,C3orf72,-0.677408606
SPI1,IKZF3,-0.677363665
JUN,HOXA13,-0.677320559
SNAI1,CEBPE,-0.677282922
CEBPA,MAP4K3,-0.677256898
AHR,PRDM1,-0.677226785
PLEKHO2,SNAI1,-0.677121591
HOXA13,JUN,-0.677113566
FOXL2,SPI1,-0.677007045
IKZF3,PTPN12,-0.677003313
C3orf72,PEG10,-0.676964266
IKZF3,PLEKHO2,-0.676803698
DUSP9,POU3F2,-0.676799559
PRDM1,C19orf26,-0.676780841
negative,HOXA13,-0.676679794
C3orf72,SPI1,-0.676647782
FOXA3,BAK1,-0.676632042
NIT1,SGK1,-0.676622775
SPI1,KIF18B,-0.676609269
CEBPE,HES7,-0.676605244
MCOLN3,C3orf72,-0.676494495
C3orf72,C19orf26,-0.676443201
C3orf72,CITED1,-0.676372529
FOXA3,ATL1,-0.67636732
FOXA1,C3orf72,-0.676294698
IKZF3,CBL,-0.676230331
CEBPE,DUSP9,-0.676202071
HOXB9,PLEKHO2,-0.676181921
BAK1,OSR2,-0.676180576
HOXC13,SGK1,-0.676166227
HOXA13,COL2A1,-0.676120679
AHR,HOXC13,-0.675842139
ISL2,C3orf72,-0.675811989
PLEKHO2,PRDM1,-0.675529874
SLC4A1,POU3F2,-0.675510943
FOSB,PRDM1,-0.67543743
HOXA13,KIF18B,-0.675337956
SLC4A1,FOXL2,-0.675107343
TP73,SGK1,-0.675021268
TP73,S1PR2,-0.675016156
HOXC13,PTPN13,-0.674962262
MIDN,IKZF3,-0.674944378
PRDM1,MEIS1,-0.674865131
SLC6A9,PRDM1,-0.674836137
C3orf72,CLDN6,-0.674732726
HOXC13,JUN,-0.674576438
SPI1,CEBPB,-0.67424518
C3orf72,BCL2L11,-0.674140824
CNNM4,CEBPA,-0.674107357
PLEKHO2,ATL1,-0.674060176
MEIS1,IKZF3,-0.673989533
SAMD1,HOXA13,-0.673718627
SLC4A1,RREB1,-0.673709856
KIAA1804,HOXB9,-0.673697158
IKZF3,SPI1,-0.67369218
PRTG,IGDCC3,-0.673566719
HOXA13,MAPK1,-0.673526226
PRDM1,UBASH3B,-0.673419914
ZBTB10,RREB1,-0.673283698
CEBPE,PRDM1,-0.67325362
IKZF3,IRF1,-0.673196773
TP73,HK2,-0.673177254
TP73,negative,-0.673112855
CEBPE,BAK1,-0.672960121
C3orf72,MAP4K5,-0.672808822
HOXA13,SGK1,-0.672793731
ZBTB10,CEBPE,-0.672674912
C3orf72,CBFA2T3,-0.672672875
IER5L,NIT1,-0.672667764
TP73,negative,-0.672658543
DUSP9,SNAI1,-0.672568771
IRF1,HOXA13,-0.672446537
FOXO4,HOXC13,-0.672410106
HOXC13,PRTG,-0.672310334
NIT1,UBASH3A,-0.672271606
CLDN6,TP73,-0.672098714
ZBTB10,POU3F2,-0.672087177
HOXA13,HNF4A,-0.672076695
CEBPE,ZBTB10,-0.672046878
MAP4K5,ATL1,-0.672018204
ISL2,NIT1,-0.67201671
HOXA13,IKZF3,-0.671942803
PRTG,HOXA13,-0.671928088
ISL2,HOXC13,-0.6717985
PRTG,CLDN6,-0.671755883
CEBPA,POU3F2,-0.671747389
PRDM1,C3orf72,-0.671745264
SPI1,CEBPA,-0.671708485
PTPN13,CEBPA,-0.671706519
HOXA13,CNN1,-0.671697242
HES7,CEBPE,-0.671492537
MAP2K6,CEBPA,-0.671440302
ZBTB10,HOXC13,-0.671430248
CNN1,PRDM1,-0.671420193
PTPN1,IKZF3,-0.671378775
UBASH3A,C3orf72,-0.671344729
SLC4A1,IGDCC3,-0.6711776
C3orf72,S1PR2,-0.671120108
HOXC13,SLC4A1,-0.671090719
HOXA13,PLEKHO2,-0.671061111
MAPK1,TP73,-0.67104281
STIL,IER5L,-0.670956081
PLK4,HOXA13,-0.670801776
SLC4A1,RREB1,-0.670771442
IRF1,NIT1,-0.670754438
FOXF1,AHR,-0.670736861
FOXF1,PRDM1,-0.670716347
EGR1,C3orf72,-0.6707053
SLC4A1,CEBPA,-0.670669618
ZBTB10,NCL,-0.670602845
LHX1,PRDM1,-0.670558746
TP73,IGDCC3,-0.670489998
SPI1,HOXA13,-0.67046305
SLC4A1,HNF4A,-0.670437977
OSR2,CEBPA,-0.670436725
PLEKHO2,BAK1,-0.670367432
C3orf72,BCORL1,-0.670200422
ZBTB10,FOXA1,-0.670146821
ARID1A,PRTG,-0.670028356
DUSP9,FOXF1,-0.670002823
S1PR2,PRTG,-0.669929451
PRTG,DLX2,-0.669886302
DUSP9,NIT1,-0.669834858
HES7,FOXA1,-0.669775612
HOXA13,HNF4A,-0.669703742
NIT1,PEG10,-0.669637294
HOXA13,PTPN9,-0.669622872
CEBPE,HOXC13,-0.669521469
DUSP9,PRTG,-0.669511933
NIT1,HOXB9,-0.66951007
IER5L,CEBPA,-0.669505829
ZBTB10,PRTG,-0.669419412
SLC4A1,C19orf26,-0.669384077
AHR,IGDCC3,-0.669381456
STIL,MIDN,-0.669314974
HOXC13,BCL2L11,-0.669284656
CEBPA,UBASH3A,-0.669213427
PRDM1,RHOXF2B,-0.669184977
C3orf72,ETS2,-0.669157679
TP73,ZBTB1,-0.66910271
